inscription_id,cisi,site,artefact_type,direction_raw,direction,reading_order_known,complete,stored_length,position,sign_code,is_missing
INDUS-4813,M-1666,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,7,4,255,False
INDUS-4813,M-1666,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,7,5,742,False
INDUS-4813,M-1666,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,7,6,615,False
INDUS-4813,M-1666,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,7,7,380,False
INDUS-4814,M-1669,Mohenjo-daro,SEAL:S,L/R,L/R,True,True,2,1,740,False
INDUS-4814,M-1669,Mohenjo-daro,SEAL:S,L/R,L/R,True,True,2,2,390,False
INDUS-4815,M-1670,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,6,1,740,False
INDUS-4815,M-1670,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,6,2,760,False
INDUS-4815,M-1670,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,6,3,001,False
INDUS-4815,M-1670,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,6,4,233,False
INDUS-4815,M-1670,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,6,5,002,False
INDUS-4815,M-1670,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,6,6,861,False
INDUS-4816,M-1698,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,7,1,740,False
INDUS-4816,M-1698,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,7,2,482,False
INDUS-4816,M-1698,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,7,3,033,False
INDUS-4816,M-1698,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,7,4,705,False
INDUS-4816,M-1698,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,7,5,002,False
INDUS-4816,M-1698,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,7,6,861,False
INDUS-4816,M-1698,Mohenjo-daro,SEAL:S,R/L,R/L,True,True,7,7,803,False
INDUS-4817,H-1733,Harappa,POT:T:s,R/L,R/L,True,False,2,1,000,True
INDUS-4817,H-1733,Harappa,POT:T:s,R/L,R/L,True,False,2,2,604,False
INDUS-4818,H-1735,Harappa,POT:T:s,NR,OTHER,False,True,1,1,016,False
INDUS-4819,H-1550,Harappa,POT:T:g,R/L,R/L,True,True,2,1,031,False
INDUS-4819,H-1550,Harappa,POT:T:g,R/L,R/L,True,True,2,2,700,False
INDUS-4820,H-1561,Harappa,POT:M,NR,OTHER,False,True,1,1,540,False
INDUS-4821,H-1960,Harappa,TAB:B,R/L,R/L,True,False,2,1,712,False
INDUS-4821,H-1960,Harappa,TAB:B,R/L,R/L,True,False,2,2,000,True
INDUS-4822,H-1021,Harappa,SEAL:S,R/L,R/L,True,True,6,1,090,False
INDUS-4822,H-1021,Harappa,SEAL:S,R/L,R/L,True,True,6,2,740,False
INDUS-4822,H-1021,Harappa,SEAL:S,R/L,R/L,True,True,6,3,235,False
INDUS-4822,H-1021,Harappa,SEAL:S,R/L,R/L,True,True,6,4,741,False
INDUS-4822,H-1021,Harappa,SEAL:S,R/L,R/L,True,True,6,5,572,False
INDUS-4822,H-1021,Harappa,SEAL:S,R/L,R/L,True,True,6,6,368,False
INDUS-4823,H-1022,Harappa,SEAL:S,R/L,R/L,True,True,4,1,368,False
INDUS-4823,H-1022,Harappa,SEAL:S,R/L,R/L,True,True,4,2,861,False
INDUS-4823,H-1022,Harappa,SEAL:S,R/L,R/L,True,True,4,3,501,False
INDUS-4823,H-1022,Harappa,SEAL:S,R/L,R/L,True,True,4,4,031,False
INDUS-4824,H-1023,Harappa,SEAL:S,R/L,R/L,True,False,3,1,232,False
INDUS-4824,H-1023,Harappa,SEAL:S,R/L,R/L,True,False,3,2,000,True
INDUS-4824,H-1023,Harappa,SEAL:S,R/L,R/L,True,False,3,3,000,True
INDUS-4825,H-1024,Harappa,SEAL:S,R/L,R/L,True,True,4,1,740,False
INDUS-4825,H-1024,Harappa,SEAL:S,R/L,R/L,True,True,4,2,443,False
INDUS-4825,H-1024,Harappa,SEAL:S,R/L,R/L,True,True,4,3,388,False
INDUS-4825,H-1024,Harappa,SEAL:S,R/L,R/L,True,True,4,4,231,False
INDUS-4826,H-1031,Harappa,SEAL:S,R/L,R/L,True,False,3,1,000,True
INDUS-4826,H-1031,Harappa,SEAL:S,R/L,R/L,True,False,3,2,090,False
INDUS-4826,H-1031,Harappa,SEAL:S,R/L,R/L,True,False,3,3,000,True
INDUS-4827,H-1035,Harappa,SEAL:S,R/L,R/L,True,False,4,1,400,False
INDUS-4827,H-1035,Harappa,SEAL:S,R/L,R/L,True,False,4,2,435,False
INDUS-4827,H-1035,Harappa,SEAL:S,R/L,R/L,True,False,4,3,000,True
INDUS-4827,H-1035,Harappa,SEAL:S,R/L,R/L,True,False,4,4,632,False
INDUS-4828,H-1036,Harappa,SEAL:S,R/L,R/L,True,True,3,1,153,False
INDUS-4828,H-1036,Harappa,SEAL:S,R/L,R/L,True,True,3,2,031,False
INDUS-4828,H-1036,Harappa,SEAL:S,R/L,R/L,True,True,3,3,700,False
INDUS-4829,H-1037,Harappa,SEAL:S,R/L,R/L,True,False,5,1,740,False
INDUS-4829,H-1037,Harappa,SEAL:S,R/L,R/L,True,False,5,2,904,False
INDUS-4829,H-1037,Harappa,SEAL:S,R/L,R/L,True,False,5,3,032,False
INDUS-4829,H-1037,Harappa,SEAL:S,R/L,R/L,True,False,5,4,002,False
INDUS-4829,H-1037,Harappa,SEAL:S,R/L,R/L,True,False,5,5,000,True
INDUS-4830,H-1044,Harappa,SEAL:S,R/L,R/L,True,False,4,1,740,False
INDUS-4830,H-1044,Harappa,SEAL:S,R/L,R/L,True,False,4,2,615,False
INDUS-4830,H-1044,Harappa,SEAL:S,R/L,R/L,True,False,4,3,920,False
INDUS-4830,H-1044,Harappa,SEAL:S,R/L,R/L,True,False,4,4,000,True
INDUS-4831,H-1046,Harappa,SEAL:S,R/L,R/L,True,True,3,1,151,False
INDUS-4831,H-1046,Harappa,SEAL:S,R/L,R/L,True,True,3,2,390,False
INDUS-4831,H-1046,Harappa,SEAL:S,R/L,R/L,True,True,3,3,590,False
INDUS-4832,H-1048,Harappa,SEAL:S,R/L,R/L,True,True,6,1,740,False
INDUS-4832,H-1048,Harappa,SEAL:S,R/L,R/L,True,True,6,2,032,False
INDUS-4832,H-1048,Harappa,SEAL:S,R/L,R/L,True,True,6,3,840,False
INDUS-4832,H-1048,Harappa,SEAL:S,R/L,R/L,True,True,6,4,235,False
INDUS-4832,H-1048,Harappa,SEAL:S,R/L,R/L,True,True,6,5,002,False
INDUS-4832,H-1048,Harappa,SEAL:S,R/L,R/L,True,True,6,6,817,False
INDUS-4833,H-1049,Harappa,SEAL:S,R/L,R/L,True,True,4,1,405,False
INDUS-4833,H-1049,Harappa,SEAL:S,R/L,R/L,True,True,4,2,004,False
INDUS-4833,H-1049,Harappa,SEAL:S,R/L,R/L,True,True,4,3,002,False
INDUS-4833,H-1049,Harappa,SEAL:S,R/L,R/L,True,True,4,4,933,False
INDUS-4834,H-1075,Harappa,SEAL:R,R/L,R/L,True,True,3,1,742,False
INDUS-4834,H-1075,Harappa,SEAL:R,R/L,R/L,True,True,3,2,440,False
INDUS-4834,H-1075,Harappa,SEAL:R,R/L,R/L,True,True,3,3,556,False
INDUS-4835,H-1059,Harappa,SEAL,R/L,R/L,True,False,3,1,740,False
INDUS-4835,H-1059,Harappa,SEAL,R/L,R/L,True,False,3,2,760,False
INDUS-4835,H-1059,Harappa,SEAL,R/L,R/L,True,False,3,3,000,True
INDUS-4836,H-1060,Harappa,SEAL,-,OTHER,False,,1,1,142,False
INDUS-4837,H-1076,Harappa,SEAL:R,R/L,R/L,True,True,5,1,740,False
INDUS-4837,H-1076,Harappa,SEAL:R,R/L,R/L,True,True,5,2,611,False
INDUS-4837,H-1076,Harappa,SEAL:R,R/L,R/L,True,True,5,3,706,False
INDUS-4837,H-1076,Harappa,SEAL:R,R/L,R/L,True,True,5,4,002,False
INDUS-4837,H-1076,Harappa,SEAL:R,R/L,R/L,True,True,5,5,820,False
INDUS-4838,H-1079,Harappa,SEAL:R,R/L,R/L,True,False,5,1,740,False
INDUS-4838,H-1079,Harappa,SEAL:R,R/L,R/L,True,False,5,2,390,False
INDUS-4838,H-1079,Harappa,SEAL:R,R/L,R/L,True,False,5,3,590,False
INDUS-4838,H-1079,Harappa,SEAL:R,R/L,R/L,True,False,5,4,002,False
INDUS-4838,H-1079,Harappa,SEAL:R,R/L,R/L,True,False,5,5,000,True
INDUS-4839,H-2137,Harappa,TAB:I,R/L,R/L,True,True,2,1,700,False
INDUS-4839,H-2137,Harappa,TAB:I,R/L,R/L,True,True,2,2,034,False
INDUS-4840,H-2137,Harappa,TAB:I,R/L,R/L,True,True,3,1,740,False
INDUS-4840,H-2137,Harappa,TAB:I,R/L,R/L,True,True,3,2,100,False
INDUS-4840,H-2137,Harappa,TAB:I,R/L,R/L,True,True,3,3,176,False
INDUS-4841,H-2242,Harappa,TAB:I,-,OTHER,False,,1,1,856,False
INDUS-4842,H-2282,Harappa,POT:T:g,R/L,R/L,True,True,3,1,034,False
INDUS-4842,H-2282,Harappa,POT:T:g,R/L,R/L,True,True,3,2,032,False
INDUS-4842,H-2282,Harappa,POT:T:g,R/L,R/L,True,True,3,3,032,False
INDUS-4843,H-2283,Harappa,POT:T:g,R/L,R/L,True,True,3,1,034,False
INDUS-4843,H-2283,Harappa,POT:T:g,R/L,R/L,True,True,3,2,999,False
INDUS-4843,H-2283,Harappa,POT:T:g,R/L,R/L,True,True,3,3,034,False
INDUS-4844,H-2284,Harappa,POT:T:g,NR,OTHER,False,True,1,1,006,False
INDUS-4845,H-2289,Harappa,POT:T:g,NR,OTHER,False,True,1,1,033,False
INDUS-4846,H-2263,Harappa,POT:T:g,NR,OTHER,False,True,1,1,034,False
INDUS-4847,H-2269,Harappa,POT:T:g,R/L,R/L,True,False,3,1,530,False
INDUS-4847,H-2269,Harappa,POT:T:g,R/L,R/L,True,False,3,2,000,True
INDUS-4847,H-2269,Harappa,POT:T:g,R/L,R/L,True,False,3,3,003,False
INDUS-4848,H-2274,Harappa,POT:T:g,R/L,R/L,True,False,3,1,700,False
INDUS-4848,H-2274,Harappa,POT:T:g,R/L,R/L,True,False,3,2,999,False
INDUS-4848,H-2274,Harappa,POT:T:g,R/L,R/L,True,False,3,3,000,True
INDUS-4849,H-2342,Harappa,POT:T:g,R/L,R/L,True,False,3,1,000,True
INDUS-4849,H-2342,Harappa,POT:T:g,R/L,R/L,True,False,3,2,832,False
INDUS-4849,H-2342,Harappa,POT:T:g,R/L,R/L,True,False,3,3,832,False
INDUS-4850,H-2363,Harappa,POT:T:g,R/L,R/L,True,False,2,1,000,True
INDUS-4850,H-2363,Harappa,POT:T:g,R/L,R/L,True,False,2,2,353,False
INDUS-4851,H-2370,Harappa,POT:T:g,R/L,R/L,True,False,2,1,740,False
INDUS-4851,H-2370,Harappa,POT:T:g,R/L,R/L,True,False,2,2,000,True
INDUS-4852,H-2375,Harappa,POT:T:g,R/L,R/L,True,False,2,1,825,False
INDUS-4852,H-2375,Harappa,POT:T:g,R/L,R/L,True,False,2,2,000,True
