cisi,ext_id,motif,ext_direction,ext_line_count,ext_object_type,source
H-1980,S745,Phyt,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2200,S746,Fish,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2183,S749,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1872,S751,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2143,S752,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2201,S753,Fish,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1947,S755,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2040,S760,Fish,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1936,S765,Bult,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-1545,S768,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2239,S769,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1930,S771,Gavi,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1831,S772,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1830,S773,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1861,S774,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1666,S775,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1958,S776,Gavi,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1844,S780,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1871,S784,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2099,S786,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1983,S787,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1840,S788,Bird,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1785,S789,Phyt,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1961,S790,Gavi,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2237,S794,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2033,S797,Goat,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1935,S800,Mult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2173,S801,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1788,S805,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
